review,sentiment,theme
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",NEGATIVE,Other
This is help full i like ittttt,POSITIVE,Customer Support
The is not functional at all?,NEGATIVE,Other
Best bank,POSITIVE,Other
Make it easy and convienient to use and perfect for all to high prefrence and choice.,POSITIVE,Other
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,NEGATIVE,Other
I have been using this app for two years.It is amazing.,POSITIVE,Other
Good 👍,POSITIVE,Other
Sad experience,NEGATIVE,Other
Always do update and that is annoying,NEGATIVE,Other
"Best app, somehow waiting a few minutes",NEGATIVE,Other
I can't dijitalize my atm in the apollo app on my phone,NEGATIVE,Other
Whenever I try to sign in app close please fixed it out,NEGATIVE,Other
Beter,POSITIVE,Other
Boa,NEGATIVE,Other
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,NEGATIVE,Transaction Speed
Aadan Axmed Barkhadle,POSITIVE,Other
😡😡😡🤬🤬🤬,NEGATIVE,Other
Horrible customer service and app crashes Horrible!!,NEGATIVE,Customer Support
I love it,POSITIVE,Other
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,NEGATIVE,Other
Good🙏,NEGATIVE,Other
Like to much,POSITIVE,Other
Perfect,POSITIVE,Other
The best of best,POSITIVE,Other
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,NEGATIVE,UI/UX
Great 👍,POSITIVE,Other
Fast and suitable for the customers.,POSITIVE,UI/UX
Good app and helpful,POSITIVE,Customer Support
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",NEGATIVE,Customer Support
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,NEGATIVE,Other
It doesn't work at all.,NEGATIVE,Other
this app is not available,NEGATIVE,Other
Wow what amazing,POSITIVE,Other
love it,POSITIVE,Other
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,NEGATIVE,Other
Lemn embi yilal??,NEGATIVE,Other
It's useless app downgraded.,NEGATIVE,Other
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,NEGATIVE,Other
Nice,POSITIVE,Other
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,NEGATIVE,Other
አይሰራም ሼም ነው፤,NEGATIVE,Other
Not that much bad,POSITIVE,Other
Fine,POSITIVE,Other
The dirtiest application ever seen...,NEGATIVE,Other
Nic ap,POSITIVE,Other
The forest app ever,POSITIVE,Other
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",NEGATIVE,Other
Bank of abissena,POSITIVE,Other
"Easy and sooo simple to use it, also its easy to stole someones money using the app",NEGATIVE,Other
GOOD,POSITIVE,Other
The worst banking app ever. Never works!,NEGATIVE,Other
Poorly functioning app,NEGATIVE,Other
Very nice,POSITIVE,Other
Your system is the worst you should do better😡😡😡😡😡😡,NEGATIVE,Other
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,NEGATIVE,Other
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",POSITIVE,Customer Support
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",NEGATIVE,Transaction Speed
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,NEGATIVE,Other
It doesn't work on my 2 devices A05 and A34 😡,NEGATIVE,Other
It's better to say I don't use boa rather than pulling your phone out and opening this app,NEGATIVE,Other
My attention is very important because it will be the most difficult time for me,POSITIVE,Other
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",NEGATIVE,Account Access
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,POSITIVE,Other
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,NEGATIVE,Other
exellent digital transaction of money,NEGATIVE,Other
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,NEGATIVE,Other
Great,POSITIVE,Other
👏👏👏,NEGATIVE,Other
Money,POSITIVE,Other
It needs more improvment,NEGATIVE,Other
Hey Google,POSITIVE,Other
ab,POSITIVE,Other
Ademtahir,POSITIVE,Other
✌️✌️,NEGATIVE,Other
Please this app on my android phone,POSITIVE,Other
GOAT 🐐 🐐,NEGATIVE,Other
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",NEGATIVE,Transaction Speed
Fast and reliable,POSITIVE,Other
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",NEGATIVE,Other
One of the poorest mobile banking system,NEGATIVE,Other
❤❤❤❤❤❤,NEGATIVE,Other
Oene,POSITIVE,Other
i find it interesting specially in reciept downloading,POSITIVE,Other
it good,POSITIVE,Other
"This app crashes everytime, please fix it",NEGATIVE,App Stability
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,NEGATIVE,Other
I need a support the app is not working,NEGATIVE,Customer Support
Bast bank of ethiopia,POSITIVE,Other
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,NEGATIVE,Transaction Speed
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",POSITIVE,Other
The worst App i have never seen like this before,NEGATIVE,Other
Wweeeer,NEGATIVE,Other
Infinx,NEGATIVE,Other
Great service,POSITIVE,Other
This app is not available on all android versions and some times it is not functional.,NEGATIVE,Other
senayt Mesfin,POSITIVE,Other
Bad app vety bad.,NEGATIVE,Other
Abessnya Banke,NEGATIVE,Other
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",NEGATIVE,Other
Okay,POSITIVE,Other
Professional on banking app,POSITIVE,Other
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,NEGATIVE,Transaction Speed
አይሰራም አስተካክሉት,NEGATIVE,Other
Please try another because this app doesn't feet the need of this generation,NEGATIVE,Other
Fast transfer,POSITIVE,Other
"What's up I can't log in, what's wrong",NEGATIVE,Other
Amrumehamed,POSITIVE,Other
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",POSITIVE,Other
ደደገነሐ,NEGATIVE,Other
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",NEGATIVE,Transaction Speed
A painfully slow banking app service. Please don't make it your choice!,NEGATIVE,Transaction Speed
Good App,POSITIVE,Other
Best app to me,POSITIVE,Other
BOA,NEGATIVE,Other
Abdulkadir,POSITIVE,Other
Bad,NEGATIVE,Other
If it is possible I would gove0 star,NEGATIVE,Other
Nise mobile bankig,NEGATIVE,Other
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,NEGATIVE,Other
Ok,POSITIVE,Other
Just make it work please🤣 this is embarrassing for a bank of your size,NEGATIVE,Other
Update to the simplest way it requires the developer option on and off why this is,NEGATIVE,UI/UX
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",NEGATIVE,Transaction Speed
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,NEGATIVE,Other
Worest app,NEGATIVE,Other
The worest app ever,POSITIVE,Other
አሪፍ ነው በርቱልን,NEGATIVE,Other
Wwwerrr,NEGATIVE,Other
ጀማል ውቀቱ,NEGATIVE,Other
Great For Financial company,POSITIVE,Other
Very easy to use,POSITIVE,Other
The App's crash always.. Error.....,NEGATIVE,App Stability
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,NEGATIVE,UI/UX
Great UI and seamless UX. I love it!!,POSITIVE,UI/UX
That's too good application but try to add more alternatives and futures or possibilitys for your customers,NEGATIVE,Customer Support
It's easy used to operate program and secured 👍👍,NEGATIVE,Other
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,NEGATIVE,Other
Amazing,POSITIVE,Other
Great app with great services,POSITIVE,Other
Yes active user,POSITIVE,Other
Shameful,NEGATIVE,Other
The worest app ever made i would not recommende for no one,NEGATIVE,Other
Good application,POSITIVE,Other
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",NEGATIVE,Transaction Speed
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",NEGATIVE,Transaction Speed
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),NEGATIVE,Other
It's not working. It needs a big update. Can't you update the app quickly?,NEGATIVE,UI/UX
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",NEGATIVE,Other
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",NEGATIVE,Other
Bes and freindly app,NEGATIVE,Other
It doesn't work.,NEGATIVE,Other
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",NEGATIVE,Other
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,NEGATIVE,Other
Smart technology,POSITIVE,Other
Yegema app tish🪨,NEGATIVE,Other
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",NEGATIVE,Other
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",NEGATIVE,Transaction Speed
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",NEGATIVE,App Stability
Awesome application. But lately its crashing everytime i opened it.,NEGATIVE,App Stability
እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,NEGATIVE,Other
Fast one,POSITIVE,Other
Nice looking app but a terrible user experience.,NEGATIVE,Other
The worest MB app ever!!🙄,NEGATIVE,Other
It is ok,POSITIVE,Other
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,NEGATIVE,Other
Apollo's,POSITIVE,Other
The worst experience ever,NEGATIVE,Other
Hussenaliumar,NEGATIVE,Other
Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,NEGATIVE,Customer Support
It is not work for my device,NEGATIVE,Other
"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",NEGATIVE,Other
The worst app ever,NEGATIVE,Other
Betanya Gebre,POSITIVE,Other
I dont recommand it to any one,NEGATIVE,Other
Excellent app,POSITIVE,Other
"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",NEGATIVE,Account Access
ትርሃስ,NEGATIVE,Other
Gio,POSITIVE,Other
App isn't working,NEGATIVE,Other
so far good but always it lugs,NEGATIVE,Other
Don't trust this bank and its service.,NEGATIVE,Other
"I can not open and use the application,please help me!",NEGATIVE,Customer Support
Horrible,NEGATIVE,Other
Mostly not working 😑,NEGATIVE,Other
Awesome 👌,POSITIVE,Other
"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",NEGATIVE,Other
Very poor app b/c highly slow to open the app,NEGATIVE,Transaction Speed
Wedi Tekle .,NEGATIVE,Other
Bad app📱👎👎👎,NEGATIVE,Other
Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,NEGATIVE,Other
Nice appp,POSITIVE,Other
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,NEGATIVE,Other
Gooood app my dear,NEGATIVE,Other
Harun tamam galanaa,NEGATIVE,Other
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",NEGATIVE,Other
Gamebela,POSITIVE,Other
so poor app to use can't start up when open the app,NEGATIVE,Other
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",NEGATIVE,Other
Good job,POSITIVE,Other
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",NEGATIVE,Account Access
Bad app .,NEGATIVE,Other
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",NEGATIVE,Other
Review,POSITIVE,Other
Goood,NEGATIVE,Other
👎👎👎👎👎👎👎👎👎,NEGATIVE,Other
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,NEGATIVE,Other
The previous version is better it doesn't work,NEGATIVE,Other
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",NEGATIVE,Transaction Speed
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",POSITIVE,Other
It's a useless app,NEGATIVE,Other
"It's not working as it was , so much need to improve, it was the best but not anymore",NEGATIVE,Other
Poor network,NEGATIVE,Other
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,NEGATIVE,Other
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,NEGATIVE,App Stability
"It's not working totally, what a useless app is it,",NEGATIVE,Other
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",NEGATIVE,Other
this is so disappointing app 😞,NEGATIVE,Other
አቢስኒያ የሁሉም ምርጫ,NEGATIVE,Other
Nays,NEGATIVE,Other
The worst app,NEGATIVE,Other
it can't even open and only display error messages,NEGATIVE,App Stability
not active,NEGATIVE,Other
To get good quality,POSITIVE,Other
አይሰራም እኮ ምንድን ነው ችግሩ?,NEGATIVE,Other
uselss app dont download,NEGATIVE,Other
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",NEGATIVE,Other
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",NEGATIVE,Other
Corrupted and poor app,NEGATIVE,Other
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,NEGATIVE,Other
FIX YOUR Apollo!! You guys where the best 👌,POSITIVE,Other
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,NEGATIVE,Transaction Speed
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",NEGATIVE,Customer Support
Poor application. It turned off by itself,NEGATIVE,Other
Allowed,POSITIVE,Other
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,NEGATIVE,App Stability
we want international mobile banking,POSITIVE,Other
"screenshot isn't working, Please modify it",NEGATIVE,Other
Naziriet measho 89160437,NEGATIVE,Other
Ahmed Mohammed husen,POSITIVE,Other
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,NEGATIVE,Other
I have experiance,NEGATIVE,Other
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,NEGATIVE,App Stability
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,NEGATIVE,App Stability
ርይርፍ,NEGATIVE,Other
The previous application is much better than this one,POSITIVE,Other
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",NEGATIVE,UI/UX
mal,NEGATIVE,Other
It is not working at all,NEGATIVE,Other
The poorest mobile banking survice ever. Only error reports frequently,NEGATIVE,App Stability
😞😞😞😞,NEGATIVE,Other
😡😡😡😡😡😡😡,NEGATIVE,Other
The worst banking app,NEGATIVE,Other
The app is constantly crashing and freezing when to send to BOA customers' accounts.,NEGATIVE,Customer Support
No work app,NEGATIVE,Other
Is ok but stop sundenly,POSITIVE,Other
🤷🤷🤷,NEGATIVE,Other
experienced,POSITIVE,Other
Very poor app. Its Always cresh and not compatible,NEGATIVE,Other
"It's not functional at all. It keeps saying ""error"". Unable to activate.",NEGATIVE,App Stability
I can't believe that Abyssinia develop this kind of trash app it have a lot of issues 👎👎👎,NEGATIVE,Other
The new app is very good,POSITIVE,Other
It's very good but sometimes isn't work probably,NEGATIVE,Other
It doesn't work,NEGATIVE,Other
ጭራሽ አይነፋም,NEGATIVE,Other
"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",NEGATIVE,UI/UX
The worst mobile banking app,NEGATIVE,Other
It is not fast,NEGATIVE,Other
Useless,NEGATIVE,Other
The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,NEGATIVE,App Stability
ሀየ,NEGATIVE,Other
Too late!,NEGATIVE,Other
No work,NEGATIVE,Other
"Pretty good for a banking app, it still lacks some things with in the ui and with the speed of the app but overall it's a good application. Thank you 5/5👍🏻",POSITIVE,UI/UX
After update it doesn't work well,NEGATIVE,Other
Error occurred try again for 5 days tele birr user not found ለራሴ አዝዤ,NEGATIVE,App Stability
Good but Very slow.,POSITIVE,Transaction Speed
Very good app,POSITIVE,Other
"It is so bad apps ,it doesn't work",NEGATIVE,Other
"From now on I will never going to use this app,It is a trash app.No one care about this app from bank I will rate them 0/5.",NEGATIVE,Other
It usually crashes and unable to process also it request to off the developer options,NEGATIVE,App Stability
Miliyone.,NEGATIVE,Other
Workneh girmamo,POSITIVE,Other
🙏🙏🙏,NEGATIVE,Other
"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",NEGATIVE,Other
Is it even working these days? Please check it.,POSITIVE,Other
"The app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......",NEGATIVE,App Stability
Please make it functional.,POSITIVE,Other
its best app but its don't working in poor connection area so,NEGATIVE,Other
Please Recover thank you,POSITIVE,Other
This app doesn't work,NEGATIVE,Other
"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",NEGATIVE,App Stability
the underrated app I've ever seen and ur banking system is Soo Idiocracy,NEGATIVE,Other
It demands to disable developer option.,NEGATIVE,Other
"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",NEGATIVE,Customer Support
Open Open service,POSITIVE,Other
አፑ በጣም አስቸጋሪ ሆኗል,NEGATIVE,Other
Its not working.,NEGATIVE,Other
"Riddled with crashes, cant use it anymore. Very frustrating!",NEGATIVE,App Stability
Always error occured. The worst app ever,NEGATIVE,App Stability
ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ App.... ዛግግግ ነው ያረገኝ 😡😡😡,NEGATIVE,Other
Excellent service,POSITIVE,Other
It's not convenient,NEGATIVE,Other
meskelu Metku,POSITIVE,Other
Verry nice,POSITIVE,Other
It has become the most unreliable mibile banking app ever.,NEGATIVE,Other
"አኘልኬሽኑ በሁሉም ነገር ጥሩ ነዉ,ነገር ግን Network በጣም ነዉ እሚያስቸገረው",NEGATIVE,Other
The poorest mobile banking I have seen in the industry. Is not stable to login and post transactions. Is not attractive. Error reports frequently.,NEGATIVE,Account Access
Really Bank,POSITIVE,Other
I like the the bank of Abyssinia is the best first bank of Ethiopia,POSITIVE,Other
The app is not good need a few work,NEGATIVE,Other
"The worst mob app i have ever seen. Slow, uncomfortable and stupid. It is better to learn from the best app (tele birr). The released updates is even worst.",NEGATIVE,Transaction Speed
"Unreliable, expensive service. Most of the time, it is not working. Sometimes, it will take more than a day to complete transactions and charges more for this unworthy service. I will not recommend this bank app to anyone.",NEGATIVE,Other
You are beutiful,NEGATIVE,Other
The best app,POSITIVE,Other
አይሰራም አፑ ለምንድነው,NEGATIVE,Other
Awful,NEGATIVE,Other
Developer option to be off really,NEGATIVE,Other
Good app boa,POSITIVE,Other
I'm disappointed with the recent changes to this app. Disabling developer options for functionality seems unnecessary. The previous version offered a more user-friendly experience.,NEGATIVE,Other
"Worest app, it cannot be downloaded",NEGATIVE,Other
😭😭😭😭😭😭😭,NEGATIVE,Other
slow only some times the wey it is veary nice app,POSITIVE,Transaction Speed
ok yes,POSITIVE,Other
It's nice apps,POSITIVE,Other
Wow! what a disgrace for BOA. The app barely works. Too slow and always returns error.,NEGATIVE,Transaction Speed
Excited by your service,POSITIVE,Other
Kerfafa new,POSITIVE,Other
ABDU MUDESR,POSITIVE,Other
"The worst mobile banking app! It doesn't load (seems like with the perfect WiFi and data connection it still manages to have network issues), when you finally get into the app, it makes it so hard more than it should be to send money.",NEGATIVE,Other
It is Good to save time 👌👌,POSITIVE,Other
"I'm sorry but what kind of stupid developer thinks the app will be faster if we disable ""Developer mode""? I've never seen such degeneracy in my entire life, please get rid of this feature",NEGATIVE,Other
What is the purpose or point of not allowing to take a screenshot of the recipe after transferring???,NEGATIVE,Other
Ayseram,NEGATIVE,Other
Worst banking app ever,NEGATIVE,Other
not bad,POSITIVE,Other
love,POSITIVE,Other
መቸሸጠ,NEGATIVE,Other
gadaa,NEGATIVE,Other
Massive upgrade from the Amole app.,POSITIVE,Other
very good for this app,POSITIVE,Other
top,POSITIVE,Other
this app better than Amole . but the biometric on new update doesn't work,NEGATIVE,Other
wow to it saff and this app,POSITIVE,Other
it too slow,NEGATIVE,Transaction Speed
ዳሽን ባንክ ይለያል,NEGATIVE,Other
real life changer,POSITIVE,Other
nice application,POSITIVE,Other
useless app ever loading take long,NEGATIVE,Other
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",POSITIVE,Account Access
very useful App,POSITIVE,Other
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",NEGATIVE,Transaction Speed
Wawww,NEGATIVE,Other
it is good but some times says duplicate transaction why?,NEGATIVE,Other
very Nice,POSITIVE,Other
its best,POSITIVE,Other
it is not as good as to the other mobile bank app.,NEGATIVE,Other
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",POSITIVE,Other
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,NEGATIVE,Other
The best app ever in finance sector,POSITIVE,Other
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,NEGATIVE,Other
dashen bank or dashen super app?,NEGATIVE,Other
wowwwe app,POSITIVE,Other
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,NEGATIVE,Other
always lagging,NEGATIVE,Other
Amazing Application...,POSITIVE,Other
"Dashen bank app is very good, but sometimes it is not working well",NEGATIVE,Other
its my choice,POSITIVE,Other
wow apo,POSITIVE,Other
awesome app keep going,POSITIVE,Other
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",POSITIVE,Other
Game changer,POSITIVE,Other
Totally amazing,POSITIVE,Other
super 😎,POSITIVE,Other
what a helpful app!!!!,POSITIVE,Customer Support
"To be honest, best banking and lifestyle app in Ethiopia.",POSITIVE,Other
fast,POSITIVE,Other
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",POSITIVE,Other
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",POSITIVE,UI/UX
Amazing app super easy to use and best design. loved it.,POSITIVE,UI/UX
its the best ever,POSITIVE,Other
excellent game changer App,POSITIVE,Other
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,POSITIVE,Other
it seems me logging out within minutes,NEGATIVE,Other
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,NEGATIVE,UI/UX
yes i want dashen super open,POSITIVE,Other
Best App,POSITIVE,Other
faster than this version,POSITIVE,Other
"Best UI mobile banking app, props to design team",POSITIVE,UI/UX
bad.,NEGATIVE,Other
Dashen bank always one step ahead,POSITIVE,Other
dashen super app is secure band very easy,POSITIVE,Other
It is very fast and secured mobile banking app! I like this app!,POSITIVE,Other
best app I have ever seen,POSITIVE,Other
best of best,POSITIVE,Other
Its slow when i try to see the Recent Transaction and stucked,NEGATIVE,Transaction Speed
